ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
García-Lerma03,ivsel:García-Lerma03|RD01 (215C)|exp:1|p4,D4T,=,2.8,µm,False
García-Lerma03,ivsel:García-Lerma03|RD01 (215C)|exp:1|p5,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD01 (215C)|exp:1|p6,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD02 (210W/215C)|exp:1|p4,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD02 (210W/215C)|exp:1|p5,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD02 (210W/215C)|exp:1|p6,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD03 (41L/210W/215C)|exp:1|p3,D4T,=,2.8,µm,False
García-Lerma03,ivsel:García-Lerma03|RD03 (41L/210W/215C)|exp:1|p4,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD03 (41L/210W/215C)|exp:1|p5,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD03 (41L/210W/215C)|exp:1|p6,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD03 (41L/210W/215C)|exp:1|p7,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD03 (41L/210W/215C)|exp:1|p8,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD03 (41L/210W/215C)|exp:1|p9,D4T,=,20.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD04 (210W/215D)|exp:1|p5,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD04 (210W/215D)|exp:1|p6,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD04 (210W/215D)|exp:1|p7,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD05 (41L/215D)|exp:1|p4,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD05 (41L/215D)|exp:1|p5,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD05 (41L/215D)|exp:1|p6,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD05 (41L/215D)|exp:1|p7,D4T,=,20.0,µm,False
García-Lerma03,ivsel:García-Lerma03|HXB2 (215D)|exp:1|p6,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|HXB2 (215D)|exp:1|p7,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD22 (WT)|exp:1|p3,D4T,=,2.8,µm,False
García-Lerma03,ivsel:García-Lerma03|RD22 (WT)|exp:1|p4,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD22 (WT)|exp:1|p5,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD22 (WT)|exp:1|p6,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD22 (WT)|exp:1|p7,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD23 (WT)|exp:1|p3,D4T,=,2.8,µm,False
García-Lerma03,ivsel:García-Lerma03|RD23 (WT)|exp:1|p4,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD23 (WT)|exp:1|p5,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|RD23 (WT)|exp:1|p6,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|HXB2 (T215)|exp:1|p4,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|HXB2 (T215)|exp:1|p5,D4T,=,6.0,µm,False
García-Lerma03,ivsel:García-Lerma03|HXB2 (T215)|exp:1|p6,D4T,=,12.0,µm,False
García-Lerma03,ivsel:García-Lerma03|HXB2 (T215)|exp:1|p7,D4T,=,12.0,µm,False
